row_id,base_pair_index,image_filename,payload_index,payload_fingerprint,condition,attacked_height,attacked_width,dwt_subband_height,dwt_subband_width,classical_ber,cnn_ber,cnn_mean_probability,cnn_mean_confidence
110,27,5234273.png,1,6559cb22ad82d0a4a3b71e5ba1777e187d35959f2d0c2526c0b80dc13e560f5c,moderate,447,509,112,128,0.5078125,0.53125,0.1785089075565338,0.7699146270751953
111,27,5234273.png,1,6559cb22ad82d0a4a3b71e5ba1777e187d35959f2d0c2526c0b80dc13e560f5c,severe,389,505,98,127,0.5,0.4921875,0.2220384180545807,0.770907998085022
112,28,5234277.png,0,34fce9703cd5f6a01091bb5f9f4cc1f7480ebc467bf66971f05936091f414692,clean,512,512,128,128,0.359375,0.0,0.5472019910812378,0.8501845598220825
113,28,5234277.png,0,34fce9703cd5f6a01091bb5f9f4cc1f7480ebc467bf66971f05936091f414692,mild,494,512,124,128,0.546875,0.5546875,0.1713862270116806,0.7786499261856079
114,28,5234277.png,0,34fce9703cd5f6a01091bb5f9f4cc1f7480ebc467bf66971f05936091f414692,moderate,447,509,112,128,0.515625,0.5234375,0.19438159465789795,0.7705823183059692
115,28,5234277.png,0,34fce9703cd5f6a01091bb5f9f4cc1f7480ebc467bf66971f05936091f414692,severe,389,505,98,127,0.5859375,0.578125,0.17229902744293213,0.8044235706329346
116,29,5234277.png,1,ef454f8b5c1fa9c1332daf30a4028a186d8bda3c58495ddc6c2f55937bff98af,clean,512,512,128,128,0.3046875,0.0,0.48055559396743774,0.8454655408859253
117,29,5234277.png,1,ef454f8b5c1fa9c1332daf30a4028a186d8bda3c58495ddc6c2f55937bff98af,mild,494,512,124,128,0.5,0.4765625,0.17091400921344757,0.779594361782074
118,29,5234277.png,1,ef454f8b5c1fa9c1332daf30a4028a186d8bda3c58495ddc6c2f55937bff98af,moderate,447,509,112,128,0.46875,0.4453125,0.1916690170764923,0.7760074138641357
119,29,5234277.png,1,ef454f8b5c1fa9c1332daf30a4028a186d8bda3c58495ddc6c2f55937bff98af,severe,389,505,98,127,0.4921875,0.484375,0.17209473252296448,0.8048321604728699
120,30,5234313.png,0,27dfba357383295b28718e4953d603bc21fcdbfcbaddef5689340cbb1cc76d1d,clean,512,512,128,128,0.0546875,0.0,0.5583789944648743,0.8670847415924072
121,30,5234313.png,0,27dfba357383295b28718e4953d603bc21fcdbfcbaddef5689340cbb1cc76d1d,mild,494,512,124,128,0.5703125,0.5703125,0.24988743662834167,0.749872088432312
