row_id,base_pair_index,image_filename,payload_index,payload_fingerprint,condition,classical_ber,cnn_ber,cnn_mean_probability,cnn_mean_confidence
140,35,5234368.png,1,447d07d94a8ace917e6330943bc6a0ea0af48786a64e0ba3d1840da7821ec895,clean,0.2421875,0.0,0.5960664749145508,0.8632503747940063
141,35,5234368.png,1,447d07d94a8ace917e6330943bc6a0ea0af48786a64e0ba3d1840da7821ec895,resize75,0.3125,0.0703125,0.5607428550720215,0.7580651044845581
142,35,5234368.png,1,447d07d94a8ace917e6330943bc6a0ea0af48786a64e0ba3d1840da7821ec895,resize50,0.3515625,0.140625,0.5042523741722107,0.6881402134895325
143,35,5234368.png,1,447d07d94a8ace917e6330943bc6a0ea0af48786a64e0ba3d1840da7821ec895,resize25,0.484375,0.4921875,0.30684638023376465,0.7451269626617432
144,36,5234369.png,0,946378672bde909bd113743a71b46727d6b63e0086834f7f73305573fcc3cc89,clean,0.2890625,0.0,0.4857242703437805,0.8362175226211548
145,36,5234369.png,0,946378672bde909bd113743a71b46727d6b63e0086834f7f73305573fcc3cc89,resize75,0.3203125,0.0390625,0.485914945602417,0.7515851855278015
146,36,5234369.png,0,946378672bde909bd113743a71b46727d6b63e0086834f7f73305573fcc3cc89,resize50,0.40625,0.140625,0.4763537645339966,0.6623061895370483
147,36,5234369.png,0,946378672bde909bd113743a71b46727d6b63e0086834f7f73305573fcc3cc89,resize25,0.46875,0.4453125,0.2756783664226532,0.7527436017990112
148,37,5234369.png,1,40949fcec71509578930a1565ec61eae2d1d51fb2df9aca65c77fe80d89999e5,clean,0.3125,0.0,0.524315595626831,0.8339831233024597
149,37,5234369.png,1,40949fcec71509578930a1565ec61eae2d1d51fb2df9aca65c77fe80d89999e5,resize75,0.34375,0.0546875,0.5046439170837402,0.7423152327537537
150,37,5234369.png,1,40949fcec71509578930a1565ec61eae2d1d51fb2df9aca65c77fe80d89999e5,resize50,0.3828125,0.1171875,0.4910980463027954,0.677070140838623
